KG_Pair,k1,b,epsilon,C Hits@1,C Hits@5,C Hits@10,C Hits@20,C Hits@50,P Hits@1,P Hits@5,P Hits@10,P Hits@20,P Hits@50,Total_Time_Seconds
marvelcinematicuniverse-marvel,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.5454545454545454,447.40696716308594
memoryalpha-memorybeta,0.0,0.0,,0.5,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.32075471698113206,0.5849056603773585,0.7924528301886793,0.8490566037735849,0.8867924528301887,277.37162709236145
memoryalpha-stexpanded,0.0,0.0,,0.3076923076923077,0.6923076923076923,0.6923076923076923,0.9230769230769231,1.0,0.2682926829268293,0.6097560975609756,0.7560975609756098,0.8780487804878049,0.926829268292683,169.23501992225647
starwars-swg,0.0,0.0,,0.0,0.6,0.6,0.6,0.8,0.05,0.15,0.2,0.45,0.55,456.1857228279114
starwars-swtor,0.0,0.0,,0.3333333333333333,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.21428571428571427,0.39285714285714285,0.5178571428571429,0.6964285714285714,0.9285714285714286,461.68887186050415
marvelcinematicuniverse-marvel,0.0,0.3,,0.0,0.0,0.0,0.0,0.5,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.5454545454545454,458.2067151069641
memoryalpha-memorybeta,0.0,0.3,,0.5,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.32075471698113206,0.5849056603773585,0.7924528301886793,0.8490566037735849,0.8867924528301887,271.54707622528076
memoryalpha-stexpanded,0.0,0.3,,0.3076923076923077,0.6923076923076923,0.6923076923076923,0.9230769230769231,1.0,0.2682926829268293,0.6097560975609756,0.7560975609756098,0.8780487804878049,0.926829268292683,166.6401870250702
starwars-swg,0.0,0.3,,0.0,0.6,0.6,0.6,0.8,0.05,0.15,0.2,0.45,0.55,447.2935862541199
starwars-swtor,0.0,0.3,,0.3333333333333333,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.21428571428571427,0.39285714285714285,0.5178571428571429,0.6964285714285714,0.9285714285714286,453.67453384399414
marvelcinematicuniverse-marvel,0.0,0.75,,0.0,0.0,0.0,0.0,0.5,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.5454545454545454,444.82097482681274
memoryalpha-memorybeta,0.0,0.75,,0.5,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.32075471698113206,0.5849056603773585,0.7924528301886793,0.8490566037735849,0.8867924528301887,272.80785393714905
memoryalpha-stexpanded,0.0,0.75,,0.3076923076923077,0.6923076923076923,0.6923076923076923,0.9230769230769231,1.0,0.2682926829268293,0.6097560975609756,0.7560975609756098,0.8780487804878049,0.926829268292683,165.4697949886322
